Event	ID	Name			Wwise Object Path	Notes
	29605206	Health_Increase			\Default Work Unit\Effects\Buffs\Health_Increase	
	144371737	Boomerang_Hit			\Default Work Unit\Weapons\Ranged arc\Boomerang_Hit	
	399878796	Shield_Hit			\Default Work Unit\Weapons\Ranged arc\Shield_Hit	
	476098351	Sword_Swing			\Default Work Unit\Weapons\Melee\Sword_Swing	
	528420227	Railgun_Hit			\Default Work Unit\Weapons\Ranged straight\Railgun_Hit	
	543618689	Bow_and_Arrow_Hit			\Default Work Unit\Weapons\Ranged arc\Bow_and_Arrow_Hit	
	673267873	Railgun_Shoot			\Default Work Unit\Weapons\Ranged straight\Railgun_Shoot	
	899428695	Grenade_Hit			\Default Work Unit\Weapons\Ranged arc\Grenade_Hit	
	902717029	Pickup_Item			\Default Work Unit\Effects\Pickup\Pickup_Item	
	934225790	Boomerang_Throw			\Default Work Unit\Weapons\Ranged arc\Boomerang_Throw	
	1060853137	Katana_Hit			\Default Work Unit\Weapons\Melee\Katana_Hit	
	1184469823	Electric_Whip_Hit			\Default Work Unit\Weapons\Melee\Electric_Whip_Hit	
	1429962442	Baseball_Bat_Swing			\Default Work Unit\Weapons\Melee\Baseball_Bat_Swing	
	1463549730	Sniper_Hit			\Default Work Unit\Weapons\Ranged straight\Sniper_Hit	
	1573331525	Fire_Whip_Swing			\Default Work Unit\Weapons\Melee\Fire_Whip_Swing	
	1610827655	Shield_Throw			\Default Work Unit\Weapons\Ranged arc\Shield_Throw	
	1754944470	Pistol_Hit			\Default Work Unit\Weapons\Ranged straight\Pistol_Hit	
	1799609931	Laser_Gun_Hit			\Default Work Unit\Weapons\Ranged straight\Laser_Gun_Hit	
	1909771504	Rocks_Throw			\Default Work Unit\Weapons\Ranged arc\Rocks_Throw	
	1941733387	Grappling_Hook			\Default Work Unit\Weapons\Tools\Grappling_Hook	
	1949177413	Flamethrower_Hit			\Default Work Unit\Weapons\Melee\Flamethrower_Hit	
	2123250479	Throwing_Dagger_Throw			\Default Work Unit\Weapons\Ranged arc\Throwing_Dagger_Throw	
	2124970216	Pistol_Shoot			\Default Work Unit\Weapons\Ranged straight\Pistol_Shoot	
	2234938040	Flamethrower_Swing			\Default Work Unit\Weapons\Melee\Flamethrower_Swing	
	2313357241	Magic_Wand_Hit			\Default Work Unit\Weapons\Ranged straight\Magic_Wand_Hit	
	2447146981	Item_Magnet			\Default Work Unit\Effects\Buffs\Item_Magnet	
	2453392179	Player_Footstep			\Default Work Unit\Effects\Footsteps\Player_Footstep	
	2526820802	Foresight			\Default Work Unit\Effects\Buffs\Foresight	
	2567405418	Electric_Whip_Swing			\Default Work Unit\Weapons\Melee\Electric_Whip_Swing	
	2584493269	Speed_Increase			\Default Work Unit\Effects\Buffs\Speed_Increase	
	2665378999	Heart			\Default Work Unit\Effects\Health\Heart	
	2725920228	Katana_Swing			\Default Work Unit\Weapons\Melee\Katana_Swing	
	2801873252	Sniper_Shoot			\Default Work Unit\Weapons\Ranged straight\Sniper_Shoot	
	2988633891	Magic_Wand_Shoot			\Default Work Unit\Weapons\Ranged straight\Magic_Wand_Shoot	
	3191454527	Laser_Sword_Swing			\Default Work Unit\Weapons\Melee\Laser_Sword_Swing	
	3301329608	Grenade_Throw			\Default Work Unit\Weapons\Ranged arc\Grenade_Throw	
	3545396134	Bow_and_Arrow_Throw			\Default Work Unit\Weapons\Ranged arc\Bow_and_Arrow_Throw	
	3626746553	Laser_Gun_Shoot			\Default Work Unit\Weapons\Ranged straight\Laser_Gun_Shoot	
	3666808863	Rocks_Hit			\Default Work Unit\Weapons\Ranged arc\Rocks_Hit	
	3680608169	Lasso			\Default Work Unit\Weapons\Tools\Lasso	
	3822779060	Throwing_Dagger_Hit			\Default Work Unit\Weapons\Ranged arc\Throwing_Dagger_Hit	
	4040622072	Fire_Whip_Hit			\Default Work Unit\Weapons\Melee\Fire_Whip_Hit	
	4057287994	Sword_Hit			\Default Work Unit\Weapons\Melee\Sword_Hit	
	4146399722	Laser_Sword_Hit			\Default Work Unit\Weapons\Melee\Laser_Sword_Hit	
	4151873597	Armour			\Default Work Unit\Effects\Buffs\Armour	
	4256860319	Baseball_Bat_Hit			\Default Work Unit\Weapons\Melee\Baseball_Bat_Hit	

State Group	ID	Name			Wwise Object Path	Notes
	4071417932	Player_State			\Default Work Unit\Player_State	

State	ID	Name	State Group			Notes
	655265632	Alive	Player_State			
	748895195	None	Player_State			
	2044049779	Dead	Player_State			

Custom State	ID	Name	State Group	Owner		Notes
	338268871	Dead	Player_State	\Actor-Mixer Hierarchy\Actions\Effects\Actions\Health\Heart		

Game Parameter	ID	Name			Wwise Object Path	Notes
	215992295	Player_Health			\Default Work Unit\Player_Health	

Effect plug-ins	ID	Name	Type				Notes
	9950053	Wwise Guitar Distortion (Custom)	Wwise Guitar Distortion			
	386245128	Wwise Flanger (Custom)	Wwise Flanger			
	421043782	Wwise Harmonizer (Custom)	Wwise Harmonizer			
	682670408	Wwise Flanger (Custom)	Wwise Flanger			
	714899448	Wwise Harmonizer (Custom)	Wwise Harmonizer			
	734722522	Wwise Harmonizer (Custom)	Wwise Harmonizer			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12500520	Light_Wand_Whoosh_2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Light_Wand_Whoosh_2_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Ranged Straight\Magic_Wand_Shoot\Light_Wand_Whoosh_2		102464
	15143170	Shadow Punch 5	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Shadow Punch 5_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Ranged Arc\Boomerang_Hit\Shadow Punch 5		463116
	22471866	Punch 4	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Punch 4_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Baseball_Bat_Hit\Punch 4		198516
	24920767	Arrow Hit Metal 1_2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Arrow Hit Metal 1_2_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Ranged Arc\Bow_and_Arrow__Hit\Arrow Hit Metal 1_2		219896
	25802768	Sword_Swing_5	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Sword_Swing_5_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Sword_Swing\Sword_Swing_5		138304
	38737928	PM_FSSF2_WEAPONS_D1_SHOT	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\PM_FSSF2_WEAPONS_D1_SHOT_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Tools\Grappling_Hook\PM_FSSF2_WEAPONS_D1_SHOT		229956
	92922021	Knife-Attack-Metal_Impact_Clash_04	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Knife-Attack-Metal_Impact_Clash_04_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Sword_Hit\Knife-Attack-Metal_Impact_Clash_04		240044
	93435390	Electric Punch 5	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Electric Punch 5_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Electric_Whip_Hit\Electric Punch 5		529264
	94596370	Shield_Buff_v1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Shield_Buff_v1_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Actions\Buffs\Armour\Shield_Buff_v1		247360
	100510317	DeepExplosion02	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\DeepExplosion02_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Ranged Arc\Grenade_Hit\DeepExplosion02		1036608
	101737377	Electric_Spell_Weapon_Attack_Swing_v2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Electric_Spell_Weapon_Attack_Swing_v2_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Electric_Whip_Swing\Electric_Spell_Weapon_Attack_Swing_v2		310336
	107833814	MAGIC FIRE Torch, Flamethrower, Short Deflagration, Burst 04	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\MAGIC FIRE Torch, Flamethrower, Short Deflagration, Burst 04_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Flamethrower_Swing\MAGIC FIRE Torch, Flamethrower, Short Deflagration, Burst 04		229444
	110704282	Sword_Swing_6	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\Sword_Swing_6_10C4C929.wem		\Actor-Mixer Hierarchy\Actions\Effects\Weapons\Melee\Sword_Swing\Sword_Swing_6		120000
